נושא,תאור הנושא
40226,יישומי ERP
40227,רשתות מורכבות
40228,סמינר בהנדסת מערכות מידע
40229,שיטות סטטיסטיות בניתוח נתונים
40235,ניתוח נתונים בשפת R
40237,ניהול משאבי אנוש HRM
40238,יסודות פייתון למהנדסי תעשיה וניהול
40407,ליווי פרוייקטי גמר בניהול-מידע ואנליטיקה
40408,ליווי פרוייקטי גמר בניהול התפ' והביצועים
50001,כימיה להנדסה רפואית
50009,ביולוגיה של תא
50103,פיזיולוגיה למהנדסים
50104,פיזיולוגיה ובקרת מערכות בגוף האדם
50105,חיישנים רפואיים
50107,מבוא להנדסת תאים ורקמות
50108,מעבדה מעשית בהנדסה רפואית
50109,פתולוגיה כללית ומערכתית
50110,גרפיקה הנדסית להנדסה רפואית
50113,בקרת תהליכים במערכות ממוחשבות
50114,מכניקת המוצקים1
50115,מכניקת המוצקים2
50116,מכניקה פיזיולוגית של מערכת השלד והשרירים
50118,מערכות ספרתיות ברפואה
50119,בקרה ומערכות ליניאריות
50120,עיבוד וזיהוי תמונה
50122,אלקטרוניקה
50123,מעבדה באלקטרוניקה רפואית
50124,עיבוד סיפרתי של אותות
50126,מבוא לטכנולוגיה רפואית
50127,קרינה ברפואה-דימות וטיפול
50209,מבוא לאפליקציות רפואיות
50212,נושאים נבחרים בעיבוד תמונות רפואיות
50301,תרמודינמיקה ומעברי חום
50302,מכניקת הזורמים
50303,חומרים בהנדסה רפואית ומשתלים
50304,מעברי חום ומסה במערכות ביולוגיות
50306,מעבדה במכניקה רפואית
50308,זרימה מתקדמת ויישומיה הרפואיים
50309,סמינריון בהנדסה רפואית
50314,שיטות חישוביות בהנדסה
50315,תכן מכני להנדסה רפואית
50407,ליווי פרוייקטי גמר בהנדסה רפואית
50501,הנדסה קלינית וניהול מערכות טכנו' רפואיות
50502,תכנון ובקרה של ניסויים קליניים
50503,עיבוד אות מתקדם ויישומיו הרפואיים
50504,עיבוד תמונה מתקדם ויישומיו הרפואיים
50506,חשיפה לתעשייה ולמרכזים הרפואיים
50507,אתיקה רפואית
61001,יסודות הנדסת מערכות
61005,אופטימיזציה מערכתית
61006,תכן מערכתי וארכיטקטורה
61007,תכן לאיכות
61008,מודלים אקראיים בחקר ביצועים מערכתי
61009,אינטגרציה של מערכות
61011,מודלים וסימולציה של מערכות
61023,הנדסת דרישות
61024,הנדסת ערך ושיקולים כלכליים
61222,ניהול פרויקטים בהנדסת מערכת
61227,כלים יישומיים בהנדסת מערכות
61231,כריית נתונים ולמידת מכונה להנדסת מערכות
62001,מבוא להנדסת אנרגיה
62002,המרת אנרגיה חשמלית
62003,שיטות מתמטיות ונומריות בהנדסת אנרגיה
62004,כלכלת משק האנרגיה
62005,הפקת אנרגיה1
62006,הפקת אנרגיה2
62007,המרת אנרגיה תרמית
62008,התייעלות אנרגטית
62009,רגולציה והיביטים משפטיים בהנדסת אנרגיה
62010,אנרגיה וקיימות ואיכות הסביבה
62011,מעבדת מאזני אנרגיה
62217,ממונה אנרגיה
63003,יישומי פסיכולוגיה בתעשיית שירות
63006,ניהול תפעול השירות
63007,ניהול קשרי לקוח CRM
63010,פיתוח השירות החדש
63018,שיווק מערכות שירות
63022,מדיניות מערכות מידע ואיסטרטגיה עסקית
63215,הנדסת גורמי אנוש
63218,תיכון השירות הנייד
64003,מערכות מידע מרחביות במערכות תשתית
64007,מערכות הולכה הובלה וחלוקת אנרגיה
64010,הנדסה ותכנון מערכות תחבורה
64011,סוגיות משפטיות בהנדסה מערכות תשתית
64016,קבלת החלטות וניהול סיכונים
64017,ניתוח אירועים בהנדסה וניהול מערכות תשתית
64022,הנדסה תכנון וניהול של מערכות מים וביוב
65001,מבוא למערכות תבוניות
65002,חיישנים ואותות
65003,הסקה סטטיסטית וקבלת החלטות
65004,מידול וחיזוי סדרות עתיות
65005,למידה חישובית
65006,כלים טכנולוגיות קוד פתוח למערכות תבוניות
65007,עיבוד שפות טבעיות
65009,מערכות תומכות החלטה ומערכות המלצות
65017,נושאים נבחרים במערכות תבוניות 1
65211,אלגוריתם לחיפוש ואחזור מידע
65214,למידה עמוקה
65215,טכנולוגיות ענן ו-Big Data
65216,מערכות תבוניות ברפואה
65219,מערכות מרובות סוכנים
65221,ראיה ממוחשבת ורובוטיקה
66001,חקר ביצועים
66002,כריית נתונים
66003,ניהול משאבי אנוש
66004,חיזוי וניתוח ביקושים
66005,ניהול פרויקטים
90901,חשבון דיפרנציאלי אינטגרלי1
90902,חשבון דיפרנציאלי אינטגרלי2
90903,פיזיקה-מכניקה
90904,פיזיקה חשמל ומגנטיות
90905,אלגברה ליניארית
90911,מבוא להסתברות
90913,לוגיקה מתמטית
90914,משוואות דיפ' רגילות
90915,משוואות דיפ' חלקיות
90916,אנליזה הרמונית
90917,פונקציות מרוכבות
90918,מעבדת פיזיקה מכניקה
90919,מעבדת פיזיקה חשמל
90925,אנליזה נומרית
90926,מתמטיקה בדידה
90928,פיזיקה מודרנית
90929,גלים
90937,"פיזיקה1 לתעו""נ"
90939,"פיזיקה2 לתעו""נ"
90947,"מעבדת פיזיקה לתעו""נ"
90948,תורת הגלים להנדסה רפואית
90949,פיזיקה מודרנית להנדסה רפואית
